"iid","iparentid","cpath","ilevel","iposition","ichildrencount"
"307","243","Cameras-Photo-Accessories/Bags-Cases-Straps","2",null,null
"308","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Bag-Case","3",null,null
"309","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Bags","3",null,null
"310","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Straps","3",null,null
"311","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Waterproof-Bags","3",null,null
"312","307","Cameras-Photo-Accessories/Bags-Cases-Straps/Others","3",null,null
"313","243","Cameras-Photo-Accessories/GOPRO-Accessories","2",null,null
"314","313","Cameras-Photo-Accessories/GOPRO-Accessories/Self-shooting-Accessories","3",null,null
"315","313","Cameras-Photo-Accessories/GOPRO-Accessories/Wearing-Accessories","3",null,null
"316","313","Cameras-Photo-Accessories/GOPRO-Accessories/Tripods-Fix-Accessories","3",null,null
"317","313","Cameras-Photo-Accessories/GOPRO-Accessories/Waterproof-Protecting-Accessories","3",null,null
"318","313","Cameras-Photo-Accessories/GOPRO-Accessories/Lens-Accessories","3",null,null
"319","313","Cameras-Photo-Accessories/GOPRO-Accessories/Others","3",null,null
"320",null,"Lighting-Flashlights-LEDs","1",null,null
"321","320","Lighting-Flashlights-LEDs/LED-Lighting","2",null,null
"322","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Strips","3",null,null
"323","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Downlights","3",null,null
"324","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Spotlights","3",null,null
"325","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-String","3",null,null
"326","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Grow-Lights","3",null,null
"327","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Headlamps","3",null,null
"328","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Bar-Lights","3",null,null
"329","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Panel-Lights","3",null,null
"330","321","Lighting-Flashlights-LEDs/LED-Lighting/LED-Modules","3",null,null
"331","320","Lighting-Flashlights-LEDs/Light-Bulbs","2",null,null
"332","331","Lighting-Flashlights-LEDs/Light-Bulbs/LED-Bulbs-Tubes","3",null,null
"333","331","Lighting-Flashlights-LEDs/Light-Bulbs/High-Intensity-Discharge","3",null,null
"334","331","Lighting-Flashlights-LEDs/Light-Bulbs/Incandescent-Bulbs","3",null,null
"335","331","Lighting-Flashlights-LEDs/Light-Bulbs/Halogen-Bulbs","3",null,null
"336","331","Lighting-Flashlights-LEDs/Light-Bulbs/Energy-Saving-Fluorescent","3",null,null
"337","331","Lighting-Flashlights-LEDs/Light-Bulbs/Ultraviolet-Lamps","3",null,null
"338","331","Lighting-Flashlights-LEDs/Light-Bulbs/Neon-Bulbs-Tubes","3",null,null
