"clistingid","ilanguageid","csku","icategory","ccreateuser","dcreatedate"
"97f62384-d8c9-1004-8a97-438cca05a146",null,"H995","79",null,"2015-02-07 00:00:00"
"97f62384-d8c9-1004-8a97-438cca05a146",null,"H995","283",null,"2015-02-07 00:00:00"
"97f70de4-d8c9-1004-8a97-438cca05a146",null,"H993","77",null,"2015-02-07 00:00:00"
"97f70de4-d8c9-1004-8a97-438cca05a146",null,"H993","79",null,"2015-02-07 00:00:00"
"97f70de4-d8c9-1004-8a97-438cca05a146",null,"H993","285",null,"2015-02-07 00:00:00"
"97f81f54-d8c9-1004-8a97-438cca05a146",null,"H992","77",null,"2015-02-07 00:00:00"
"97f81f54-d8c9-1004-8a97-438cca05a146",null,"H992","79",null,"2015-02-07 00:00:00"
"97f930c4-d8c9-1004-8a97-438cca05a146",null,"H991","77",null,"2015-02-07 00:00:00"
"97f930c4-d8c9-1004-8a97-438cca05a146",null,"H991","79",null,"2015-02-07 00:00:00"
"97fa1b24-d8c9-1004-8a97-438cca05a146",null,"H990","77",null,"2015-02-07 00:00:00"
"97fa1b24-d8c9-1004-8a97-438cca05a146",null,"H990","79",null,"2015-02-07 00:00:00"
"97fa1b24-d8c9-1004-8a97-438cca05a146",null,"H990","285",null,"2015-02-07 00:00:00"
"97fb05e8-d8c9-1004-8a97-438cca05a146",null,"H989","77",null,"2015-02-07 00:00:00"
"97fb05e8-d8c9-1004-8a97-438cca05a146",null,"H989","79",null,"2015-02-07 00:00:00"
"97fbf048-d8c9-1004-8a97-438cca05a146",null,"H988","77",null,"2015-02-07 00:00:00"
"97fbf048-d8c9-1004-8a97-438cca05a146",null,"H988","79",null,"2015-02-07 00:00:00"
"97fcdaa8-d8c9-1004-8a97-438cca05a146",null,"H987","77",null,"2015-02-07 00:00:00"
"97fcdaa8-d8c9-1004-8a97-438cca05a146",null,"H987","79",null,"2015-02-07 00:00:00"
"97fdec18-d8c9-1004-8a97-438cca05a146",null,"H986","77",null,"2015-02-07 00:00:00"
"97fdec18-d8c9-1004-8a97-438cca05a146",null,"H986","79",null,"2015-02-07 00:00:00"
"97fdec18-d8c9-1004-8a97-438cca05a146",null,"H986","285",null,"2015-02-07 00:00:00"
"97fed678-d8c9-1004-8a97-438cca05a146",null,"H985","77",null,"2015-02-07 00:00:00"
"97fed678-d8c9-1004-8a97-438cca05a146",null,"H985","79",null,"2015-02-07 00:00:00"
"97fed678-d8c9-1004-8a97-438cca05a146",null,"H985","285",null,"2015-02-07 00:00:00"
"98000ef8-d8c9-1004-8a97-438cca05a146",null,"H984","77",null,"2015-02-07 00:00:00"
"98000ef8-d8c9-1004-8a97-438cca05a146",null,"H984","79",null,"2015-02-07 00:00:00"
"98000ef8-d8c9-1004-8a97-438cca05a146",null,"H984","285",null,"2015-02-07 00:00:00"
"9800f958-d8c9-1004-8a97-438cca05a146",null,"H1043","77",null,"2015-02-07 00:00:00"
"9800f958-d8c9-1004-8a97-438cca05a146",null,"H1043","79",null,"2015-02-07 00:00:00"
"980258e8-d8c9-1004-8a97-438cca05a146",null,"H1042","77",null,"2015-02-07 00:00:00"
"980258e8-d8c9-1004-8a97-438cca05a146",null,"H1042","79",null,"2015-02-07 00:00:00"
"98034348-d8c9-1004-8a97-438cca05a146",null,"H1041","77",null,"2015-02-07 00:00:00"
"98034348-d8c9-1004-8a97-438cca05a146",null,"H1041","79",null,"2015-02-07 00:00:00"
"98040698-d8c9-1004-8a97-438cca05a146",null,"H1040","77",null,"2015-02-07 00:00:00"
"98040698-d8c9-1004-8a97-438cca05a146",null,"H1040","79",null,"2015-02-07 00:00:00"
"9804f0f8-d8c9-1004-8a97-438cca05a146",null,"H1039","77",null,"2015-02-07 00:00:00"
"9804f0f8-d8c9-1004-8a97-438cca05a146",null,"H1039","79",null,"2015-02-07 00:00:00"
"9805db58-d8c9-1004-8a97-438cca05a146",null,"H1038","77",null,"2015-02-07 00:00:00"
