"clistingid","csku","cimageurl","clabel","iorder","bthumbnail","bsmallimage","bbaseimage"
"9669a52c-d8c9-1004-8a97-438cca05a146","F108","http://www.tomtop.com/media/catalog/product/1/2/12354638220_3.jpg",null,"1","t","t","t"
"966a128c-d8c9-1004-8a97-438cca05a146","F105","http://www.tomtop.com/media/catalog/product/1/2/12354479320_3.jpg",null,"1","t","t","t"
"966b5f5c-d8c9-1004-8a97-438cca05a146","F98","http://www.tomtop.com/media/catalog/product/1/2/12354439140_3.jpg",null,"1","t","t","t"
"966c49bc-d8c9-1004-8a97-438cca05a146","F6","http://www.tomtop.com/media/catalog/product/1/6/1663_3.jpg",null,"1","t","t","t"
"966c49bc-d8c9-1004-8a97-438cca05a146","F6","http://www.tomtop.com/media/catalog/product/1/6/1663_20081112101100_1_3.jpg",null,"2","t","t","t"
"966c49bc-d8c9-1004-8a97-438cca05a146","F6","http://www.tomtop.com/media/catalog/product/1/6/1663_20081112101100_2_3.jpg",null,"3","t","t","t"
"966d0d0c-d8c9-1004-8a97-438cca05a146","F3","http://www.tomtop.com/media/catalog/product/1/5/1583_3.jpg",null,"1","t","t","t"
"966d0d0c-d8c9-1004-8a97-438cca05a146","F3","http://www.tomtop.com/media/catalog/product/1/5/1583_20081026104743_1_3.jpg",null,"2","t","t","t"
"966d0d0c-d8c9-1004-8a97-438cca05a146","F3","http://www.tomtop.com/media/catalog/product/1/5/1583_20081026104743_2_3.jpg",null,"3","t","t","t"
"966d0d0c-d8c9-1004-8a97-438cca05a146","F3","http://www.tomtop.com/media/catalog/product/1/5/1583_20081026104743_3_3.jpg",null,"4","t","t","t"
"966d0d0c-d8c9-1004-8a97-438cca05a146","F3","http://www.tomtop.com/media/catalog/product/1/5/1583_20081026104743_4_3.jpg",null,"5","t","t","t"
"966dd05c-d8c9-1004-8a97-438cca05a146","F2","http://www.tomtop.com/media/catalog/product/1/5/1582_3.jpg",null,"1","t","t","t"
"966ebb20-d8c9-1004-8a97-438cca05a146","F1","http://www.tomtop.com/media/catalog/product/f/1/f11.jpg",null,"4","t","t","t"
"966ebb20-d8c9-1004-8a97-438cca05a146","F1","http://www.tomtop.com/media/catalog/product/f/1/f13.jpg",null,"5","t","t","t"
"966ebb20-d8c9-1004-8a97-438cca05a146","F1","http://www.tomtop.com/media/catalog/product/f/1/f12.jpg",null,"6","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_3.jpg",null,"1","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_20080805172442_1_3.JPG",null,"2","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_20080805172442_2_3.JPG",null,"3","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_20080805172442_3_3.JPG",null,"4","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_20080805172442_4_3.JPG",null,"5","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_20080805172443_5_3.JPG",null,"6","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_20080805172443_6_3.JPG",null,"7","t","t","t"
"966fa580-d8c9-1004-8a97-438cca05a146","GAME099","http://www.tomtop.com/media/catalog/product/1/4/1486_20080805172443_7_3.JPG",null,"8","t","t","t"
"967068d0-d8c9-1004-8a97-438cca05a146","GAME089","http://www.tomtop.com/media/catalog/product/1/3/1319_3.jpg",null,"1","t","t","t"
"967068d0-d8c9-1004-8a97-438cca05a146","GAME089","http://www.tomtop.com/media/catalog/product/1/3/1319_20080421180227_1_3.jpg",null,"2","t","t","t"
"967068d0-d8c9-1004-8a97-438cca05a146","GAME089","http://www.tomtop.com/media/catalog/product/1/3/1319_20080421180227_2_3.jpg",null,"3","t","t","t"
"967068d0-d8c9-1004-8a97-438cca05a146","GAME089","http://www.tomtop.com/media/catalog/product/1/3/1319_20080421180227_3_3.jpg",null,"4","t","t","t"
"96712c20-d8c9-1004-8a97-438cca05a146","GAME086","http://www.tomtop.com/media/catalog/product/1/2/1269_3.jpg",null,"1","t","t","t"
"96712c20-d8c9-1004-8a97-438cca05a146","GAME086","http://www.tomtop.com/media/catalog/product/1/2/1269_20080405150900_1_3.jpg",null,"2","t","t","t"
